ID	Source	SOURCE_coord	Dest	DEST_coord	count
0	Akron, OH Metro Area	 41.083064,-81.518485	Canton-Massillon, OH Metro Area	 40.7989522,-81.3784445	3021
1	Akron, OH Metro Area	 41.083064,-81.518485	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	6522
2	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4941
3	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	4820
4	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5453
5	Anchorage, AK Metro Area	 61.1758781,-149.1107333	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3208
6	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	8874
7	Athens-Clarke County, GA Metro Area	 33.9597677,-83.376398	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3985
8	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Athens-Clarke County, GA Metro Area	 33.9597677,-83.376398	7983
9	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Augusta-Richmond County, GA-SC Metro Area	 33.4709714,-81.9748429	3167
10	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4246
11	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3880
12	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Gainesville, GA Metro Area	 34.2978794,-83.8240663	4322
13	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	5105
14	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	5872
15	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4861
16	Atlantic City-Hammonton, NJ Metro Area	 39.3642852,-74.4229351	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	3108
